,Y0,Y1,Country,Label,Label5,Label10,Label15,Label20,Label25,Label30,Label35,Label40,Label45,Label50,Label6,Label7,Label8,Label9,Label11,Label12,Label13,Label14,Label16,Label17,Label18,Label19,Label21,Label22,Label23,Label24,Label26,Label27,Label28,Label29,Label31,Label32,Label33,Label34,Label36,Label37,Label38,Label39,Label41,Label42,Label43,Label44,Label46,Label47,Label48,Label49,Label51,Label52,Label53,Label54
178,14.219316,14.597984,Latvia (1945-1990),8,1,3,2,8,6,4,6,27,4,10,2,1,0,6,6,4,8,2,15,9,9,13,8,3,7,5,25,7,2,5,15,21,8,10,9,18,9,2,4,9,35,17,6,28,37,47,16,7,11,9
179,-20.08518,1.3193698,Latvia,17,3,9,4,14,24,16,22,16,30,21,0,0,1,4,7,0,4,1,6,8,4,3,5,14,21,17,13,12,23,7,23,16,19,9,24,3,31,16,16,4,15,39,16,21,1,14,43,19,18,11
180,13.7280655,3.236495,Lesotho,0,4,7,9,16,21,15,11,26,2,1,1,1,5,5,1,1,6,12,9,0,0,17,13,6,1,22,10,11,17,13,1,3,4,23,15,36,6,21,20,25,4,21,4,30,22,25,22,31,1,6
181,6.563967,19.52768,Lebanon,15,1,1,12,2,20,17,26,37,25,35,2,3,4,2,2,9,12,3,7,5,15,6,15,11,3,23,1,6,20,18,6,10,0,22,35,33,3,6,29,21,7,25,19,6,15,27,18,17,19,36
182,3.129161,-5.812802,Liberia,14,2,2,10,15,17,13,13,38,15,22,5,4,2,3,5,5,5,0,5,3,5,18,0,8,18,8,23,9,10,4,8,7,28,27,5,25,1,20,40,29,22,38,41,27,14,35,48,22,45,17
183,-7.4328556,-0.28534445,Libya (1969-2011),2,3,5,11,13,10,8,18,39,43,43,5,4,2,8,0,6,9,7,8,16,13,7,10,13,14,12,8,3,16,27,20,24,25,19,27,20,12,25,9,31,38,42,33,37,30,7,38,49,28,15
184,4.478385,11.861542,Libya,12,1,1,12,2,18,24,8,22,20,5,2,3,4,2,2,9,0,9,1,5,17,6,17,1,3,13,24,26,11,3,21,22,0,17,28,31,18,37,12,22,23,35,3,43,39,3,26,0,4,51
185,-7.670103,6.732044,Liechtenstein,13,0,5,1,1,10,12,27,6,11,46,3,0,6,8,0,6,9,7,8,16,13,5,2,5,5,6,19,22,0,1,20,28,24,14,14,22,16,0,32,6,32,26,8,4,5,19,1,42,9,19
186,13.733143,13.382577,Lithuania (1950-1990),8,1,3,2,8,6,4,6,0,24,10,2,1,0,6,6,4,8,2,15,9,9,13,8,3,7,5,25,7,2,5,15,21,8,10,9,18,9,29,4,26,35,17,40,1,37,47,37,50,11,9
187,-2.5674698,15.206659,Luxembourg (royal anthem),4,0,1,8,4,3,11,8,10,40,12,3,3,4,2,2,9,12,3,12,2,10,14,6,12,11,1,11,23,7,17,21,20,16,18,12,4,8,36,24,12,11,18,26,10,3,46,5,43,26,46
188,-2.3994563,15.454565,Luxembourg (national anthem),4,0,1,8,4,3,11,8,10,40,12,3,3,4,2,2,9,12,3,12,2,10,14,6,12,11,1,11,23,7,17,21,20,16,18,12,4,8,36,24,12,11,18,26,10,3,46,5,43,26,46
189,12.403411,12.968046,Lithuania,8,1,3,2,8,6,4,6,0,24,10,2,1,0,6,6,4,8,2,15,9,9,13,8,3,7,5,25,7,2,5,15,21,8,10,9,18,9,29,4,26,35,17,40,1,37,47,37,50,11,9
190,-0.93509805,20.48582,Macedonia,4,1,1,12,2,3,11,21,31,40,26,2,3,4,2,2,9,12,3,12,2,10,14,6,12,3,1,11,23,7,17,3,10,16,18,12,4,37,36,24,27,11,18,12,42,3,21,27,24,26,46
191,1.3891925,6.236088,Madagascar,6,1,4,6,6,14,2,23,22,27,34,5,4,2,8,9,3,0,9,10,4,17,1,17,1,20,13,6,10,27,11,16,22,15,1,16,21,18,13,14,38,14,22,44,15,9,37,47,51,52,34
192,-16.524551,2.6906908,Madagascar (to 1896),17,0,9,4,14,24,26,5,35,30,30,3,0,6,4,7,0,4,1,6,8,4,3,5,14,21,17,2,17,23,7,0,14,3,9,11,3,25,16,35,4,15,15,16,21,33,28,17,45,46,24
193,18.167833,2.8959177,Malawi,0,4,7,9,16,1,10,15,26,16,13,1,1,5,5,1,1,6,12,9,0,0,8,13,17,1,4,10,11,15,26,12,11,29,16,32,1,28,30,37,14,39,14,37,45,22,16,2,10,1,40
194,-14.814446,-6.5755935,Madeira Islands,9,3,9,4,17,5,1,10,1,28,4,0,2,1,4,10,8,11,13,14,1,6,10,18,2,8,2,7,8,9,24,13,2,10,25,7,11,5,4,25,11,3,7,5,0,13,38,8,1,30,28
195,-10.194172,-1.8792397,Maldives,2,3,5,11,1,19,8,33,39,43,43,0,2,1,4,0,6,9,7,8,16,13,7,10,13,14,12,8,3,16,27,0,24,25,19,30,15,12,25,35,31,38,42,33,22,36,7,38,49,21,15
196,9.551938,17.650768,Malaysia,15,1,3,12,2,20,17,26,24,9,19,2,1,0,2,6,4,8,2,7,5,15,6,15,11,3,23,1,6,20,18,6,17,0,22,35,9,3,26,29,0,42,6,14,46,35,30,6,36,37,36
197,4.371734,1.7583902,Mali,6,4,4,6,6,9,0,7,15,22,20,5,4,2,8,9,3,0,9,10,4,16,1,14,16,6,3,16,20,1,11,19,19,20,1,16,12,14,20,22,8,37,9,11,23,19,2,11,51,23,52
198,-17.161165,10.263037,Malta,18,0,8,5,5,2,21,12,21,19,41,3,0,6,1,3,7,3,6,2,7,7,11,11,10,0,9,21,2,6,21,7,5,21,28,11,14,0,12,8,23,5,13,1,19,23,1,10,33,2,25
199,-1.0878907,19.576225,Manchukuo (1933-1942),4,1,1,12,2,3,11,21,31,40,26,2,3,4,2,2,9,12,3,12,2,10,14,6,12,3,1,11,23,7,17,3,10,16,18,12,4,37,36,24,27,11,18,12,42,3,21,27,24,26,46
200,1.5843376,-21.306286,Marshall Islands (1979-1991),10,2,0,7,3,7,7,34,19,1,3,4,6,3,7,8,2,10,4,4,6,11,2,12,20,19,19,9,25,3,6,2,4,18,20,4,24,36,22,38,13,26,34,7,14,8,4,42,12,40,20
201,18.398996,-8.064971,Marshall Islands,11,4,7,0,11,15,25,29,11,33,45,1,5,5,5,1,1,2,5,3,10,8,4,3,21,10,20,5,4,8,0,5,31,31,5,23,16,17,14,27,5,36,33,36,5,4,0,13,25,25,37
202,-7.264914,11.740369,Mauritania (1960-2017),13,0,5,8,4,8,23,2,17,0,42,3,3,6,1,3,7,3,6,12,2,3,14,2,5,11,6,19,22,14,12,11,26,5,13,3,26,13,19,2,36,32,0,32,38,18,9,25,43,27,48
203,10.856369,-1.5688574,Mauritania,3,4,4,10,0,16,15,11,25,2,37,1,5,5,5,1,1,6,0,5,14,5,17,14,6,22,22,15,21,22,8,1,6,4,23,15,23,6,3,39,25,30,21,25,12,32,15,50,3,17,45
204,-14.07959,-10.164717,Mauritius,9,3,9,14,17,5,1,10,1,28,38,0,2,1,4,10,8,11,13,14,1,6,10,18,2,8,2,7,8,9,24,13,2,10,25,1,11,20,4,1,11,3,16,5,39,13,5,8,1,30,28
205,14.496271,8.654848,Micronesia,0,1,3,2,16,21,4,1,0,24,1,2,1,0,6,6,4,8,12,15,9,9,13,8,3,7,5,25,7,2,5,15,3,29,10,25,18,9,29,20,26,35,2,40,1,37,47,37,50,49,9
206,-11.071624,12.397818,Micronesia (1979-1991),7,0,8,8,18,8,23,2,17,44,8,3,0,6,1,3,7,3,6,2,7,7,11,16,5,16,11,12,13,24,1,11,26,5,13,3,26,13,19,2,39,18,0,42,38,18,23,25,27,27,26
207,-4.2602353,-12.616397,Mexico,1,2,6,3,10,23,19,28,34,34,29,4,6,3,7,4,10,1,10,0,15,1,9,19,4,2,16,0,18,4,16,28,29,1,8,26,34,4,15,7,1,40,36,2,3,2,22,29,21,8,5
208,-2.935916,-20.298616,Moldova,5,2,6,7,3,7,7,14,28,26,31,4,6,3,7,4,2,7,4,13,6,11,2,7,4,19,19,9,0,13,25,2,4,18,30,13,29,26,5,13,13,0,5,21,41,11,31,33,5,12,33
209,6.443207,19.880978,Monaco,15,1,1,12,2,20,17,26,37,25,35,2,3,4,2,2,9,12,3,7,5,15,6,15,11,3,23,1,6,20,18,6,10,0,22,35,33,3,6,29,21,7,25,19,6,15,27,18,17,19,36
210,-3.143574,4.14662,Mongolia,6,0,5,1,13,14,12,7,14,27,15,5,4,2,8,0,6,9,7,10,4,16,1,10,7,14,3,6,10,14,14,4,28,6,6,16,0,2,28,26,38,6,24,18,2,30,41,35,40,14,7
211,10.128544,-15.349885,Montenegro,19,2,0,13,19,4,3,9,4,6,11,4,6,7,0,8,11,10,11,4,12,14,0,20,0,9,21,3,5,21,15,30,1,2,2,8,5,19,38,31,7,19,27,9,32,40,40,14,44,50,2
212,-1.8158183,-18.458847,Morocco,1,2,6,7,3,7,7,28,28,1,3,4,6,3,7,4,2,7,4,11,6,11,2,7,4,19,19,9,0,13,25,2,4,18,20,13,29,26,5,30,13,0,5,21,33,28,4,33,5,12,20
213,7.269235,-5.9986777,Montserrat,3,4,4,10,15,16,13,13,15,5,47,5,4,2,3,5,5,5,0,5,3,5,18,9,19,22,8,15,21,22,4,8,7,7,11,29,25,1,31,19,3,2,28,25,25,32,13,30,22,6,17
214,-8.556939,4.929365,Mozambique (1975-2002),2,0,5,1,1,10,12,27,6,11,46,3,0,6,8,0,6,9,7,8,16,13,5,2,13,5,6,19,22,0,1,20,28,24,14,14,22,16,0,32,6,12,26,8,4,5,19,1,6,9,47
215,-6.9437194,6.3507166,Montenegro (1870-1918),13,0,5,1,1,10,12,27,6,11,46,3,0,6,8,0,6,9,7,8,16,13,5,2,5,5,6,19,22,0,1,20,28,24,14,14,22,16,0,32,6,32,26,8,4,5,19,1,42,9,19
216,-6.637306,3.848948,Mozambique,2,0,5,1,1,10,12,27,6,11,15,5,4,2,8,0,6,9,7,8,16,13,5,2,13,14,6,8,22,0,27,20,28,24,14,14,22,16,25,32,6,12,42,8,4,30,19,1,6,14,47
217,14.473773,0.84149367,Namibia,0,4,7,9,16,1,15,11,25,2,37,1,5,5,5,1,1,6,12,9,0,0,8,13,6,1,22,10,11,17,13,1,6,30,23,15,10,6,3,39,30,4,20,4,12,22,25,22,3,41,6
218,12.754776,-3.8194141,Myanmar,3,4,7,10,0,16,25,20,25,37,37,1,5,5,5,1,1,2,5,5,10,5,12,3,6,22,22,15,21,22,8,5,6,30,5,2,23,17,17,10,30,2,10,20,25,45,42,4,34,7,31
219,9.779976,6.866682,Nauru,12,1,4,6,6,21,24,1,8,17,23,2,1,0,6,9,3,0,9,1,14,17,17,1,15,20,15,4,1,25,19,29,3,27,3,0,19,30,33,11,16,34,41,27,30,24,12,41,31,49,22
220,17.34771,-11.32162,Nepal (1962-2006),19,4,7,0,19,4,29,4,30,18,27,1,5,5,5,1,11,2,11,3,10,8,4,20,0,9,21,17,4,5,0,26,31,31,15,31,16,32,14,3,24,13,4,36,5,4,11,28,8,20,8
221,-13.2534685,-7.80686,Newfoundland,9,3,9,14,17,5,1,10,1,28,38,0,2,1,4,10,8,11,13,14,1,6,10,18,2,8,2,7,8,9,24,13,2,10,25,1,11,20,4,1,11,3,7,5,39,13,5,8,1,30,28
222,-4.915614,8.046757,Nepal,13,0,5,1,4,14,2,31,3,0,42,3,3,4,8,0,6,9,7,8,16,3,5,2,5,11,6,6,10,14,12,11,0,24,6,10,21,27,10,32,36,32,0,32,35,26,18,1,18,52,19
223,-15.946997,-16.856188,Netherlands Antilles,5,3,6,14,7,12,20,17,20,35,28,0,2,3,7,4,8,7,8,13,11,12,16,4,9,15,14,18,16,18,2,9,15,23,7,22,13,11,27,17,10,17,43,15,44,16,29,34,16,47,53
224,4.854481,-1.0426872,Niger,14,4,4,10,15,9,0,13,15,22,47,5,4,2,3,9,5,5,0,10,14,5,18,14,16,6,3,16,20,1,4,19,19,20,11,29,12,14,20,0,8,22,9,31,23,32,2,11,14,23,3
225,-0.6817374,1.8505433,New Zealand,6,0,4,6,13,0,0,7,14,27,0,5,4,2,8,0,6,9,9,10,4,16,1,10,7,6,3,16,20,27,14,4,9,6,1,16,0,2,28,26,8,6,24,18,2,19,41,35,40,38,7
226,5.140929,5.159753,Nicaragua,12,1,4,6,6,9,24,23,8,17,24,5,4,2,8,9,3,0,9,1,14,17,1,1,15,20,15,4,1,27,11,16,22,27,3,0,19,18,13,22,22,14,41,27,29,9,12,41,51,24,34
227,12.338024,6.128087,Nigeria (1960-1978),0,1,3,9,16,21,15,1,8,2,1,2,1,0,6,9,3,6,12,1,14,0,17,1,15,1,15,4,1,17,13,1,3,4,23,25,36,30,21,20,16,4,2,4,30,24,25,22,31,49,6
228,11.543812,5.2537155,Nigeria,0,4,4,9,16,21,15,1,8,2,23,2,1,0,6,9,3,0,12,1,14,0,17,1,15,20,15,4,1,17,13,1,3,4,23,15,36,30,21,20,16,4,2,4,30,24,25,22,31,49,6
229,-10.6933565,18.189249,Norfolk Island,7,0,8,8,18,8,9,30,17,44,2,3,3,6,1,3,7,3,6,2,7,7,11,16,12,16,11,12,13,24,10,27,26,5,13,3,26,13,19,36,39,18,8,42,38,18,23,19,4,13,26
230,-18.58002,11.671426,Niue,18,0,8,5,5,2,21,12,21,8,41,3,0,6,1,3,7,3,6,2,7,7,11,11,10,0,9,21,2,6,21,7,5,9,28,11,14,0,12,6,35,5,13,1,19,23,17,10,33,2,25
231,-17.07635,19.511103,Northern Ireland,7,0,8,5,18,11,9,30,7,36,2,3,0,6,1,3,7,3,6,2,7,7,11,16,10,12,11,12,13,24,10,27,13,9,4,20,7,29,24,36,2,25,8,10,7,29,34,46,48,34,12
232,-6.0600896,-18.721409,Norway (to 1820),5,2,6,7,3,7,14,14,28,26,6,4,6,3,7,4,2,7,8,13,11,12,2,7,4,15,7,0,0,13,25,9,4,18,30,13,29,26,5,13,1,0,19,21,33,28,8,21,5,39,10
233,-0.9765152,18.203362,Orange Free State,4,1,1,12,2,3,11,21,31,40,26,2,3,4,2,2,9,12,3,12,2,10,14,6,12,3,1,11,23,7,17,3,10,16,18,12,4,37,36,24,27,11,18,12,42,3,21,27,24,26,46
